id,matricule,groupe_code
83,15,3 - EC2
84,15,3 - EPG1
903,150,4 - SO2
904,150,4 - LM2 - E4
905,150,4 - HG6
906,150,4 - RI
907,150,4 - Sc4
908,150,4 - LM1 - A5
909,150,4 - EPF3
910,151,3 - SO1
911,151,3 - EPF3
912,151,3 - SC2
913,152,1 - CPC2
914,152,1 - EPG2.
915,152,1 - HGS4
916,152,1 - A3
917,153,3 - LM2 - N2
918,153,3 - LM1 - A3
919,153,3 - HG4
920,153,3 - ScOp2
921,153,3 - EPG23
922,153,3 - RC
923,154,6 - LM1 - A1
924,154,6 - Sc1
925,154,6 - CPC1
926,154,6 - M4h5
927,154,6 - H1
928,154,6 - Hop1
929,154,6 - EPF3
930,154,6 - LM2 - E1
931,155,3 - EPG4
932,155,3 - ScOp1
933,155,3 - M
934,156,2 - HGS1
935,156,1
936,156,2 - RP
937,156,2 - EPG2
938,156,2 - A1
939,157,4 - LM2 - A
940,157,4 - M1
941,157,4 - ScOp2
942,157,4 - EPG4
943,157,4 - LM1 - N
944,157,4 - HG4
945,158,1 - CPC1
946,158,1 - EPG1
947,159,4 - LM1 - A4
948,159,4 - LM2 - E3
949,159,4 - M2
950,159,4 - SO1
951,159,4 - Sc2
952,159,4 - EPF2
953,159,4 - HG4
85,16,3 - SO1
86,16,3 - SC2
87,16,3 - LM1 - N
88,16,3 - HG4
89,16,3 - CPC1
90,16,3 - EPF2
91,16,3 - LM2 - I
954,160,5 - LM1 - N
955,160,5 - Phy
956,160,5 - LM2 - A2
957,160,5 - CPC7
958,160,5 - ScOp3
959,160,5 - Labo1
960,160,5 - EPG1
961,160,5 - H6
962,160,5 - M4h3
963,160,3
964,161,4 - LM2 - N2
965,161,4 - CPC5
966,161,4 - Sc2
967,161,4 - HG5
968,161,4 - LM1 - A5
969,161,4 - EPF4
970,161,4 - EC1
971,162,2 - HGS1
972,162,2 - A1
973,162,2 - EPF2
974,162,2 - M
975,163,5 - M4h5
976,163,5 - Commu2
977,163,5 - CPC3
978,163,5 - Sc5
979,163,5 - EPF2
980,163,5 - H6
981,163,5 - LM1 - A4
982,163,5 - LM2 - N1
983,164,5 - LM1 - A1
984,164,5 - EPF4
985,164,5 - Sc3
986,164,5 - LM2 - E2
987,164,5 - CPC4
988,164,5 - EC
989,164,5 - M4h1
990,164,5 - H1
991,165,6 - Hop2
992,165,6 - LM2 - A
993,165,6 - Sc3
994,165,6 - H4
995,165,6 - EPG2
996,165,6 - LM1 - N
997,165,6PAV-tout sauf SO
998,165,6 - M4h3
999,165,6 - CPC3
1000,166,5
1001,166,5 - Sc3
1002,166,5 - RC
1003,166,5 - EPG4
1004,166,5 - EC
1005,166,5 - LM2 - A1
1006,166,5 - M4h1
1007,166,6 - LM1 - NI
1008,167,4 - CPC3
1009,167,4 - EPF2
1010,167,4 - ScOp3
1011,168,5
1012,168,6 - Sc2
1013,168,6 - LM1 - A4
1014,168,6 - CPC4
1015,168,6 - H5
1016,168,6 - LM3 - E
1017,168,6 - M6h2
1018,168,6 - EPF3
1019,168,6 - LM2 - N2
1020,169,4 - LM1 - A4
1021,169,4 - LM2 - N2
1022,169,4 - ScOp3
1023,169,4 - CPC4
1024,169,4 - EPF1
1025,169,4 - HG5
92,17,3 - CPC2
93,17,3 - ScOp3
94,17,3 - LM2 - N2
95,17,3 - LM1 - AI2
96,17,3 - EPG4
1026,170,2 - HGS1
1027,170,2 - EPG2
1028,170,2 - A1
1029,170,2 - M
1030,171,5 - LM1 - N
1031,171,5 - LM2 - A2
1032,171,5 - EPF3
1033,171,5 - CPC6
1034,171,5 - M4h6
1035,171,5 - H5
1036,171,5 - Sc2
1037,171,5 - SO
1038,172,5 - LM1 - A3
1039,172,5 - M4h5
1040,172,5 - ScOp2
1041,172,5 - Phy
1042,172,5 - LM2 - E3
1043,172,5 - CPC3
1044,172,5 - Labo2
1045,172,2
1046,172,5 - H5
1047,172,5 - EPF2
1048,173,2 - EPF1
1049,173,2 - N
1050,173,2 - HGS5
1051,173,2 - CPC3
1052,174,2 - EPG3
1053,174,2 - CPC2
1054,175,1 - CPC2
1055,175,1 - EPF1
1056,175,1 - HGS1
1057,175,1 - A1
1058,176,5
1059,176,5 - H4
1060,176,5 - Phy
1061,176,5 - M4h2
1062,176,5 - ScOp3
1063,176,5 - LM1 - A2
1064,176,5 - Labo1
1065,176,5 - EPG1
1066,176,5 - CPC5
1067,176,6 - LM2 - I
1068,176,3
1069,177,3 - CPC2
1070,177,3 - LM2 - N1
1071,177,3 - LM1 - A3
1072,177,3 - SC2
1073,177,3 - HG3
1074,177,3 - SO1
1075,177,3 - EPF2
1076,178,5 - Phy
1077,178,5 - H6
1078,178,5 - M
1079,178,5 - ScOp3
1080,178,5 - RC
1081,178,5 - LM2 - E4
1082,178,5 - EPG1
1083,178,5 - LM1 - A2
1084,178,5 - M6h2
1085,178,3
1086,179,2 - EPG3
1087,179,2 - CPC2
97,18,5
98,18,5 - M4h5
99,18,5 - H4
100,18,5 - CPC3
101,18,5 - LM1 - A5
102,18,5 - Sc5
103,18,6 - LM3 - E
104,18,5 - EPG2
105,18,5 - LM2 - N1
1088,180,4 - M1
1089,180,4 - ScOp2
1090,180,4 - LM1 - AI
1091,180,4 - EPG4
1092,180,4 - LM2 - E4
1093,181,6 - RC
1094,181,6 - Sc3
1095,181,6 - H3
1096,181,6 - EPF1
1097,181,6 - LM1 - A3
1098,181,6 - M4h1
1099,181,6 - LM2 - N1
1100,181,6 - EC
1101,182,2 - CPC4
1102,182,2 - EPG2
1103,182,2 - A1
1104,182,2 - HGS1
1105,183,2 - EPG3
1106,183,2 - CPC2
1107,184,5 - LM1 - A1
1108,184,5 - Sc3
1109,184,5 - M
1110,184,5 - LM2 - E2
1111,184,5 - EPG4
1112,184,5 - EC
1113,184,5 - M4h1
1114,184,5 - H1
1115,185,5 - EPF1
1116,185,5
1117,185,5 - H4
1118,185,5 - M4h2
1119,185,5 - Commu1
1120,185,5 - CPC5
1121,185,5 - LM1 - A2
1122,185,5 - Sc4
1123,185,6 - LM2 - I
1124,186,3 - EPF1
1125,186,3 - HG6
1126,186,3 - SO2
1127,186,3 - SC4
1128,186,3 - LM1 - A6
1129,186,3 - LM2 - I
1130,187,4 - LM1 - AI
1131,187,4 - M2
1132,187,4 - Sc3
1133,187,4 - LM2 - E4
1134,187,4 - EPF4
1135,188,5 - LM1 - A1
1136,188,5 - Sc3
1137,188,5 - M
1138,188,5 - LM2 - E2
1139,188,5 - EPG4
1140,188,5 - EC
1141,188,5 - M4h1
1142,188,5 - H1
1143,189,2 - HGS5
1144,189,2 - EPG1
1145,189,2 - N
1146,189,2 - CPC3
106,19,3 - LM1 - A4
107,19,3 - EPF1
108,19,3 - LM2 - E2
109,19,3 - SO2
110,19,3 - RI
111,19,3 - HG3
112,19,3 - SC4
1147,190,6 - Sc2
1148,190,6 - H2
1149,190,6 - LM1 - A2
1150,190,6 - M4h2
1151,190,6 - EPG2
1152,190,6 - LM2 - E2
1153,190,6 - EC
1154,190,6 - RI
1155,191,6 - LM2 - A
1156,191,5
1157,191,6 - Sc4
1158,191,6 - M
1159,191,6 - M4h4
1160,191,6 - EC
1161,191,6 - LM1 - NI
1162,191,6 - EPG1
1163,192,2 - CPC4
1164,192,2 - A1
1165,192,2 - HGS1
1166,192,2 - EPF2
1167,193,6 - LM1 - A1
1168,193,6 - Sc1
1169,193,6 - CPC1
1170,193,6 - M4h5
1171,193,6 - H1
1172,193,6 - EPG3
1173,193,6 - Commu2
1174,193,6 - LM2 - E1
1175,194,5
1176,194,6 - ScOp1
1177,194,6 - Phy
1178,194,1
1179,194,6 - EPG2
1180,194,6 - M6h1
1181,194,6 - CPC2
1182,194,6 - LM1 - AI
1183,194,6 - LM2 - I
1184,195,4 - CPC5
1185,195,4 - LM2 - I
1186,195,4 - Sc2
1187,195,4 - HG5
1188,195,4 - LM1 - A5
1189,195,4 - EPF4
1190,195,4 - EC1
1191,196,5 - EPF1
1192,196,5
1193,196,5 - H4
1194,196,5 - EC
1195,196,5 - CPC5
1196,196,5 - LM1 - A2
1197,196,5 - M6h2
1198,196,5 - Sc4
1199,196,6 - LM2 - I
1200,197,5
1201,197,6 - Sc2
1202,197,6 - LM2 - D
1203,197,6 - M4h2
1204,197,6 - M
1205,197,6 - EPF2
1206,197,6 - EC
1207,197,6 - LM1 - AI
1208,198,5
1209,198,5 - Sc3
1210,198,5 - H6
1211,198,6 - LM3 - D
1212,198,5 - CPC7
1213,198,5 - LM2 - E4
1214,198,5 - EPG1
1215,198,5 - LM1 - A2
1216,198,5 - M6h2
1217,199,5 - LM1 - A5
1218,199,5 - EPF3
1219,199,5 - CPC6
1220,199,5 - M4h6
1221,199,5 - H5
1222,199,5 - LM2 - E4
1223,199,5 - Sc2
1224,199,5 - SO
8,2,6 - Sc2
9,2,6 - M4h2
10,2,6 - EPG2
11,2,6 - RI
12,2,6 - LM2 - E2
13,2,6 - EC
14,2,6 - LM1 - AI
113,20,4 - LM1 - A4
114,20,4 - LM2 - E3
115,20,4 - CPC5
116,20,4 - SO1
117,20,4 - Sc2
118,20,4 - EPF2
119,20,4 - HG4
1225,200,5 - LM1 - A3
1226,200,5 - M4h5
1227,200,5 - ScOp2
1228,200,5 - Phy
1229,200,5 - LM2 - E3
1230,200,5 - CPC3
1231,200,5 - Labo2
1232,200,2
1233,200,5 - H5
1234,200,5 - EPF2
1235,201,5 - LM1 - N
1236,201,5 - Phy
1237,201,5 - LM2 - A2
1238,201,5 - CPC7
1239,201,5 - ScOp3
1240,201,5 - Labo1
1241,201,5 - EPG1
1242,201,5 - H6
1243,201,5 - M4h3
1244,201,3
1245,202,4 - LM2 - A
1246,202,4 - HG6
1247,202,4 - Sc4
1248,202,4 - CPC5
1249,202,4 - LM1 - N
1250,202,4 - EPF2
1251,203,2 - HGS5
1252,203,2 - EPG1
1253,203,2 - N
1254,203,2 - CPC3
1255,204,3 - HG5
1256,204,3 - LM1 - A5
1257,204,3 - SC1
1258,204,3 - RI
1259,204,3 - EPF3
1260,204,3 - LM2 - E4
1261,204,3 - EC1
1262,205,1 - CPC1
1263,205,1 - EPF1
1264,206,5 - EPF1
1265,206,5
1266,206,5 - H4
1267,206,5 - M4h2
1268,206,5 - Commu1
1269,206,5 - CPC5
1270,206,5 - LM1 - A2
1271,206,5 - Sc4
1272,206,6 - LM2 - I
1273,207,2 - CPC4
1274,207,2 - EPG2
1275,207,2 - AI
1276,207,2 - AI1
1277,208,2 - CPC2
1278,208,2 - EPF3
1279,209,4 - LM2 - A
1280,209,4 - SO2
1281,209,4 - HG6
1282,209,4 - CPC4
1283,209,4 - Sc3
1284,209,4 - EPF1
1285,209,4 - LM1 - N
