id,groupe_code,classe,option,LM1,LM2,LM3
59,5+6 - LM3 - D,6PAZ,,,,
60,5+6 - LM3 - D,5PAU,,,,
61,5+6 - LM3 - E,5PAT,,,,
62,5+6 - LM3 - E,5PAU,,,,
63,5+6 - LM3 - E,5PAW,,,,
64,5+6 - LM3 - E,5PAZ,,,,
65,5+6 - LM3 - E,6PAU,,,,
66,5+6 - LM3 - E,6PAV,,,,
67,5+6 - LM3 - E,6PAW,,,,
68,5+6 - LM3 - E,6PAY,,,,
69,5+6 - LM3 - E,6PAZ,,,,
70,5 - Hop,5PAU,,,,
71,5 - Hop,5PAV,,,,
72,5 - Hop,5PAW,,,,
73,5 - Hop,5PAY,,,,
74,6 - Labo,6PAU,,,,
75,6 - Labo,6PAV,,,,
76,6 - Labo,6PAW,,,,
77,6 - Labo,6PAY,,,,
78,5 - ScOp2,5PAT,,,,
79,5 - ScOp2,5PAW,,,,
80,5 - M6h1,5PAX,,,,
81,2 - N,2PAD,,,,
82,5 - ScOp3,5PAU,,,,
83,5 - ScOp3,5PAZ,,,,
84,4 - Sc2,4PAY,,,,
85,4 - Sc2,4PAZ,,,,
86,6 - M4h5,6PAX,,,,
87,1 - HGS1,1PAA,,,,
88,4 - Sc4,4PAW,,,,
89,4 - Sc4,4PAZ,,,,
90,4 - ScOp3,4PAU,,,,
91,4 - ScOp3,4PAV,,,,
92,4 - ScOp3,4PAW,,,,
93,3 - EPG4,3PAV,,,,
94,3 - EPG4,3PAZ,,,,
95,3 - EPF4,3PAV,,,,
96,3 - EPF4,3PAZ,,,,
97,3 - LM1 - AI1,3PAT,,,,
98,3 - LM1 - AI1,3PAX,,,,
99,3 - LM1 - A3,3PAS,,,,
100,3 - LM1 - A3,3PAT,,,,
101,3 - LM1 - N,3PAS,,,,
102,3 - LM1 - N,3PAX,,,,
103,5 - LM1 - AI,5PAU,,,,
104,5 - LM1 - AI,5PAW,,,,
105,5 - LM1 - AI,5PAX,,,,
106,5 - LM1 - AI,5PAY,,,,
107,5 - LM1 - AI,5PAZ,,,,
108,5 - LM1 - A4,5PAW,,,,
109,5 - LM1 - A4,5PAX,,,,
110,5 - LM1 - A4,5PAZ,,,,
111,5 - LM1 - A2,5PAU,,,,
112,5 - LM1 - A2,5PAZ,,,,
113,5 - LM1 - A5,5PAW,,,,
114,5 - LM1 - A5,5PAY,,,,
115,5 - LM1 - A3,5PAV,,,,
116,5 - LM1 - A3,5PAW,,,,
117,5 - LM1 - N,5PAX,,,,
118,5 - LM1 - N,5PAY,,,,
119,5 - LM1 - N,5PAZ,,,,
120,5 - LM1 - N,5PAW,,,,
121,6 - Commu1,6PAU,,,,
122,6 - Commu1,6PAV,,,,
123,6 - Commu1,6PAW,,,,
124,6 - Commu1,6PAY,,,,
125,6 - EC,6PAU,,,,
126,6 - EC,6PAV,,,,
127,6 - EC,6PAW,,,,
128,6 - EC,6PAY,,,,
129,6 - EC,6PAZ,,,,
130,6 - Hop2,6PAU,,,,
131,6 - Hop2,6PAV,,,,
132,6 - Hop2,6PAW,,,,
133,6 - ScOp2,6PAU,,,,
134,6 - ScOp2,6PAV,,,,
135,6 - ScOp2,6PAW,,,,
136,6PAV-SO,6PAV,,,,
137,3 - EC1,3PAT,,,,
138,3 - EC1,3PAU,,,,
139,3 - EC1,3PAW,,,,
140,6 - H1,6PAX,,,,
141,4 - ScOp2,4PAX,,,,
142,1 - EPG2.,1PAC,,,,
143,1 - EPG2.,1PAD,,,,
144,1 - EPG2.,1PAE,,,,
145,1 - EPG2.,1PAF,,,,
146,1 - EPF3,1PAC,,,,
147,1 - EPF3,1PAF,,,,
148,1 - EPF2,1PAD,,,,
149,1 - EPF2,1PAE,,,,
